filenumber,purpose,message_id,title,author_name,full_link,link_path,domain,top_level_domain
728528,Q&A,message #1330113,"Another ""Ambiguous variable type defintions"" problem",Emre T,http://stackoverflow.com/questions/19702962/eclipse-manifest-mf-plugin-dependencies-different-icons,stackoverflow.com/questions,stackoverflow.com,com
628051,Q&A,message #1219680,Call xtend function in java,Christian Dietrich,http://xtext.itemis.com,http://xtext.itemis.com,xtext.itemis.com,com
314487,Q&A,message #826625,migrating to Xtext 2.3 and ITreeAppendable,Lorenzo Bettini,http://www.lorenzobettini.it,http://www.lorenzobettini.it,www.lorenzobettini.it,it
314487,Q&A,message #826625,migrating to Xtext 2.3 and ITreeAppendable,Lorenzo Bettini,http://www.purplesucker.com,http://www.purplesucker.com,www.purplesucker.com,com
314487,Q&A,message #826625,migrating to Xtext 2.3 and ITreeAppendable,Lorenzo Bettini,http://www.myspace.com/supertrouperabba,www.myspace.com/supertrouperabba,www.myspace.com,com
314487,Q&A,message #826625,migrating to Xtext 2.3 and ITreeAppendable,Lorenzo Bettini,http://tronprog.blogspot.com,http://tronprog.blogspot.com,tronprog.blogspot.com,blogspot.com
314487,Q&A,message #826625,migrating to Xtext 2.3 and ITreeAppendable,Lorenzo Bettini,http://longlivemusic.blogspot.com,http://longlivemusic.blogspot.com,longlivemusic.blogspot.com,blogspot.com
314487,Q&A,message #826625,migrating to Xtext 2.3 and ITreeAppendable,Lorenzo Bettini,http://www.gnu.org/software/src-highlite,www.gnu.org/software,www.gnu.org,org
314487,Q&A,message #826625,migrating to Xtext 2.3 and ITreeAppendable,Lorenzo Bettini,http://www.gnu.org/software/gengetopt,www.gnu.org/software,www.gnu.org,org
314487,Q&A,message #826625,migrating to Xtext 2.3 and ITreeAppendable,Lorenzo Bettini,http://www.gnu.org/software/gengen,www.gnu.org/software,www.gnu.org,org
314487,Q&A,message #826625,migrating to Xtext 2.3 and ITreeAppendable,Lorenzo Bettini,http://doublecpp.sourceforge.net,http://doublecpp.sourceforge.net,doublecpp.sourceforge.net,net
314487,Q&A,message #826625,migrating to Xtext 2.3 and ITreeAppendable,Sebastian Zarnekow,http://xtext.itemis.com,http://xtext.itemis.com,xtext.itemis.com,com
85708,Q&A,message #266027,Running eclipse-based applciation as standalone?,Eclipse User,http://dev.eclipse.org/viewcvs/index.cgi/~checkout~/platform-ui-home/rcp/index.html,dev.eclipse.org/viewcvs,dev.eclipse.org,org
139534,Q&A,message #439798,is there a preferred RCP mechanism for updating editors based on model-changes caused in a view?,venkataramana m,http://www.eclipsezone.com/eclipse/forums/m91955225.html,www.eclipsezone.com/eclipse,www.eclipsezone.com,com
139534,Q&A,message #439798,is there a preferred RCP mechanism for updating editors based on model-changes caused in a view?,venkataramana m,http://www.eclipsezone.com/eclipse/forums/m91955226.html,www.eclipsezone.com/eclipse,www.eclipsezone.com,com
123228,Q&A,message #376309,oAW error :'Couldn't find operation....',Eclipse User,http://www.tu-harburg.de/~soet1085/SM,www.tu-harburg.de/~soet1085,www.tu-harburg.de,de
123228,Q&A,message #376309,oAW error :'Couldn't find operation....',Eclipse User,http://www.w3.org/2001/XMLSchema,www.w3.org/2001,www.w3.org,org
204538,Misuse,message #654093,Generated Xtext FAQ,Stefan Henss,http://faqcluster.com/xtext-grammar,faqcluster.com/xtext,faqcluster.com,com
204538,Misuse,message #654093,Generated Xtext FAQ,Stefan Henss,http://faqcluster.com/,http://faqcluster.com/,faqcluster.com,com
204538,Misuse,message #654093,Generated Xtext FAQ,Sebastian Zarnekow,http://xtext.itemis.com,http://xtext.itemis.com,xtext.itemis.com,com
204538,Misuse,message #654093,Generated Xtext FAQ,Stefan Henss,http://faqcluster.com/xtext-keywords.txt,faqcluster.com/xtext,faqcluster.com,com
801581,Q&A,message #1410808,Trying to manually install mylyn using copy&paste for Ubuntu eclipse luna,Sam Davis,http://download.eclipse.org/mylyn/releases/latest,download.eclipse.org/mylyn,download.eclipse.org,org
131867,Q&A,message #409632,validating the diagram while saving,Radomil Dvorak,http://www.opera.com/mail/,www.opera.com/mail,www.opera.com,com
178277,Announcement,message #566464,New EclipseUML 2008 for Java,Vlad Varnica,http://www.ejb3.org/download_studio_eclipse_3.4.html,www.ejb3.org/download_studio_eclipse_3.4.html,www.ejb3.org,org
764858,Q&A,message #1367356,Failure of executing StupidModel,Jimin Hwa,http://download.eclipse.org/amp/updates/milestones,download.eclipse.org/amp,download.eclipse.org,org
44577,Q&A,message #144542,calculations using two datasets,Eclipse User,http://www.eclipse.org/birt/phoenix/ref/ROM_Scripting_SPEC.pdf,www.eclipse.org/birt,www.eclipse.org,org
44577,Q&A,message #144542,calculations using two datasets,Eclipse User,http://www.eclipse.org/birt/phoenix/deploy/reportScripting.php,www.eclipse.org/birt,www.eclipse.org,org
100675,Q&A,message #307808,CVS weirdness,Michael Valenta,https://bugs.eclipse.org/bugs/show_bug.cgi?id=156155,bugs.eclipse.org/bugs,bugs.eclipse.org,org
126714,Q&A,message #389445,OSGI questions,Rafael Chaves,http://osgi.org/osgi_technology/download_specs.asp,osgi.org/osgi_technology,osgi.org,org
126714,Q&A,message #389445,OSGI questions,Jeff McAffer,https://bugs.eclipse.org/bugs/show_bug.cgi?id=65438,bugs.eclipse.org/bugs,bugs.eclipse.org,org
88943,Q&A,message #275421,J2EE plug-ins,Jean Couillaud,http://www.jboss.org/index.html?module=html&op=userdisplay&id=developers/projects/jboss/jbosside,www.jboss.org/index.html?module=html&op=userdisplay&id=developers,www.jboss.org,org
88943,Q&A,message #275421,J2EE plug-ins,Jean Couillaud,http://wiki.objectweb.org/eclipse-webtools/Wiki.jsp?page=ProjectLayout,wiki.objectweb.org/eclipse,wiki.objectweb.org,org
88943,Q&A,message #275421,J2EE plug-ins,Eclipse User,http://www.myeclipseide.com/ContentExpress-display-ceid-15.html,www.myeclipseide.com/ContentExpress,www.myeclipseide.com,com
1081708,Q&A,message #1744976,Cannot remove an explorer hierarchy attached to top of main editor window,Eric Rizzo,http://help.eclipse.org/neon/index.jsp?topic=%2Forg.eclipse.jdt.doc.user%2Freference%2Fref-java-editor-breadcrumb.htm,help.eclipse.org/neon,help.eclipse.org,org
628433,Q&A,message #1220983,Suddenly multiple error messages,Eustace Fril,https://files.nyu.edu/emf202/public/jv/nataltransits.html,files.nyu.edu/emf202,files.nyu.edu,edu
628433,Q&A,message #1220983,Suddenly multiple error messages,Eustace Fril,https://files.nyu.edu/emf202/public/js/spherical.html,files.nyu.edu/emf202,files.nyu.edu,edu
1084906,Q&A,message #1756023,GDB debugging with OpenOCD in Eclipse Mars on Windows Machine,David Vavra,https://msdn.microsoft.com/en-us/library/cc704588.aspx,msdn.microsoft.com/en,msdn.microsoft.com,com
1084906,Q&A,message #1756023,GDB debugging with OpenOCD in Eclipse Mars on Windows Machine,David Vavra,http://gnuarmeclipse.github.io/,http://gnuarmeclipse.github.io/,gnuarmeclipse.github.io,github.io
1084906,Q&A,message #1756023,GDB debugging with OpenOCD in Eclipse Mars on Windows Machine,David Vavra,http://gnuarmeclipse.github.io/openocd/,gnuarmeclipse.github.io/openocd,gnuarmeclipse.github.io,github.io
1084906,Q&A,message #1756023,GDB debugging with OpenOCD in Eclipse Mars on Windows Machine,David Vavra,http://gnuarmeclipse.github.io/debug/openocd/,gnuarmeclipse.github.io/debug,gnuarmeclipse.github.io,github.io
1084906,Q&A,message #1756023,GDB debugging with OpenOCD in Eclipse Mars on Windows Machine,David Vavra,http://gnuarmeclipse.github.io/support/,gnuarmeclipse.github.io/support,gnuarmeclipse.github.io,github.io
1084906,Q&A,message #1756023,GDB debugging with OpenOCD in Eclipse Mars on Windows Machine,David Vavra,http://gnuarmeclipse.github.io/support/forum/,gnuarmeclipse.github.io/support,gnuarmeclipse.github.io,github.io
52225,Q&A,message #166857,Can one hooks the events of standard menu items,kiril mitov,http://help.eclipse.org/help32/topic/org.eclipse.platform.doc.isv/guide/wrkAdv_retarget.htm,help.eclipse.org/help32,help.eclipse.org,org
786108,Q&A,message #1391712,There is a scroll problem with the RAP 2.2/2.3 in Chrome 35+,Arnaud MERGEY,http://rap.eclipsesource.com/demo/release/rapdemo/#gmaps,rap.eclipsesource.com/demo,rap.eclipsesource.com,com
786108,Q&A,message #1391712,There is a scroll problem with the RAP 2.2/2.3 in Chrome 35+,Ivan Furnadjiev,https://bugs.eclipse.org/bugs/show_bug.cgi?id=435200,bugs.eclipse.org/bugs,bugs.eclipse.org,org
786108,Q&A,message #1391712,There is a scroll problem with the RAP 2.2/2.3 in Chrome 35+,Ivan Furnadjiev,http://eclipsesource.com/blogs/,eclipsesource.com/blogs,eclipsesource.com,com
786108,Q&A,message #1391712,There is a scroll problem with the RAP 2.2/2.3 in Chrome 35+,Ivan Furnadjiev,http://eclipsesource.com/services/rap/,eclipsesource.com/services,eclipsesource.com,com
786108,Q&A,message #1391712,There is a scroll problem with the RAP 2.2/2.3 in Chrome 35+,Ivan Furnadjiev,https://bugs.webkit.org/show_bug.cgi?id=125070,bugs.webkit.org/show_bug.cgi?id=125070,bugs.webkit.org,org
786108,Q&A,message #1391712,There is a scroll problem with the RAP 2.2/2.3 in Chrome 35+,Ivan Furnadjiev,https://wiki.eclipse.org/RAP/FAQ#Scrolling_looks_broken_in_Google_Chrome.2C_Safari_or_Opera,wiki.eclipse.org/RAP,wiki.eclipse.org,org
85563,Q&A,message #265600,Having trouble committing a file,D. Alvarado,http://screencast.com/t/OSJMPolYF,screencast.com/t,screencast.com,com
85563,Q&A,message #265600,Having trouble committing a file,Eclipse User,http://wiki.eclipse.org/index.php/User:Nickb,wiki.eclipse.org/index.php,wiki.eclipse.org,org
85563,Q&A,message #265600,Having trouble committing a file,D. Alvarado,http://screencast.com/t/8nhlm7Z2j,screencast.com/t,screencast.com,com
17699,Information,message #56697,[Announce] QVT Relations implementation,Hajo Eichler,http://www.ikv.de/index.php?option=com_content&task=view&id=75&Itemid=77,www.ikv.de/index.php?option=com_content&task=view&id=75&Itemid=77,www.ikv.de,de
102038,Q&A,message #311603,is there a way to use the IWizardPage method performHelp()?,Paul E. Keyser,http://help.eclipse.org/help32/index.jsp,help.eclipse.org/help32,help.eclipse.org,org
203205,Q&A,message #649401,[CDO] EClass id,Eike Stepper,https://bugs.eclipse.org/bugs/show_bug.cgi?id=332888,bugs.eclipse.org/bugs,bugs.eclipse.org,org
203205,Q&A,message #649401,[CDO] EClass id,Eike Stepper,http://www.esc-net.de,http://www.esc-net.de,www.esc-net.de,de
203205,Q&A,message #649401,[CDO] EClass id,Eike Stepper,http://thegordian.blogspot.com,http://thegordian.blogspot.com,thegordian.blogspot.com,blogspot.com
203205,Q&A,message #649401,[CDO] EClass id,Eike Stepper,http://twitter.com/eikestepper,twitter.com/eikestepper,twitter.com,com
16140,Q&A,message #51581,NPE when trying to work on SQL file,Lars Vogel,https://bugs.eclipse.org/bugs/show_bug.cgi?id=256997,bugs.eclipse.org/bugs,bugs.eclipse.org,org
16140,Q&A,message #51581,NPE when trying to work on SQL file,Lars Vogel,http://www.vogella.de/eclipse.html,www.vogella.de/eclipse.html,www.vogella.de,de
16140,Q&A,message #51581,NPE when trying to work on SQL file,Lars Vogel,http://www.vogella.de/articles/RichClientPlatform/article.html,www.vogella.de/articles,www.vogella.de,de
18598,Q&A,message #59626,No. of Users in TPTP,Paul Slauenwhite,https://bugs.eclipse.org/bugs/enter_bug.cgi?classification=TPTP,bugs.eclipse.org/bugs,bugs.eclipse.org,org
574076,Q&A,message #1162611,[EMFStore] command stack notification storms,Maximilian Koegel,http://eclipsesource.com/munich,eclipsesource.com/munich,eclipsesource.com,com
574076,Q&A,message #1162611,[EMFStore] command stack notification storms,Edgar Mueller,https://bugs.eclipse.org/bugs/enter_bug.cgi?product=EMFStore,bugs.eclipse.org/bugs,bugs.eclipse.org,org
104103,Q&A,message #317900,Can I please get a zoom text tool in eclipse!!!,Eclipse User,https://bugs.eclipse.org/bugs,bugs.eclipse.org/bugs,bugs.eclipse.org,org
194869,Q&A,message #620492,JBI Deployment,Oisin Hurley,http://oisinh.wordpress.com,http://oisinh.wordpress.com,oisinh.wordpress.com,com
194869,Q&A,message #620492,JBI Deployment,Vincent Zurczak,http://wiki.jasmine.objectweb.org/xwiki/bin/view/Main/WebHome,wiki.jasmine.objectweb.org/xwiki,wiki.jasmine.objectweb.org,org
194869,Q&A,message #620492,JBI Deployment,Vincent Zurczak,http://www.ebmwebsourcing.com/forum/topic30.html,www.ebmwebsourcing.com/forum,www.ebmwebsourcing.com,com
194869,Q&A,message #620492,JBI Deployment,Vincent Zurczak,http://petals.objectweb.org,http://petals.objectweb.org,petals.objectweb.org,org
39747,Q&A,message #129230,Merge EMF (UML) Models,Pierre,http://dev.eclipse.org/newslists/news.eclipse.technology.emft/msg04924.html,dev.eclipse.org/newslists,dev.eclipse.org,org
39747,Q&A,message #129230,Merge EMF (UML) Models,Pierre,http://www.eclipse.org/uml2/2.0.0/UML,www.eclipse.org/uml2,www.eclipse.org,org
39747,Q&A,message #129230,Merge EMF (UML) Models,Laurent Goubet,http://dev.eclipse.org/viewcvs/index.cgi/org.eclipse.emf/org.eclipse.emf.compare/examples/org.eclipse.emf.compare.examples.standalone/?root=Modeling_Project,dev.eclipse.org/viewcvs,dev.eclipse.org,org
24644,Q&A,message #79842,[Draw2D] Jagged lines,Eclipse User,http://remotejava.dyndns.org/draw2d/draw2d_init.png,remotejava.dyndns.org/draw2d,remotejava.dyndns.org,dyndns.org
24644,Q&A,message #79842,[Draw2D] Jagged lines,Eclipse User,http://remotejava.dyndns.org/draw2d/draw2d_ugly1.png,remotejava.dyndns.org/draw2d,remotejava.dyndns.org,dyndns.org
24644,Q&A,message #79842,[Draw2D] Jagged lines,Eclipse User,http://remotejava.dyndns.org/draw2d/draw2d_ugly2.png,remotejava.dyndns.org/draw2d,remotejava.dyndns.org,dyndns.org
24644,Q&A,message #79842,[Draw2D] Jagged lines,Eclipse User,http://remotejava.dyndns.org/draw2d/gtktest.png,remotejava.dyndns.org/draw2d,remotejava.dyndns.org,dyndns.org
190270,Q&A,message #603555,Re: Eclipse Swing forms designer,John Bailo,http://www.eclipse.org/vep/,www.eclipse.org/vep,www.eclipse.org,org
18778,Q&A,message #60196,An entry point named 'default' does not exist.,Stefan  ,https://bugs.eclipse.org/bugs/show_bug.cgi?id=210235,bugs.eclipse.org/bugs,bugs.eclipse.org,org
87694,Q&A,message #271976,swt documentation locally,Eclipse User,http://help.eclipse.org/galileo/index.jsp?topic=/org.eclipse.platform.doc.isv/guide/ua_help_setup_infocenter.htm,help.eclipse.org/galileo,help.eclipse.org,org
21124,Q&A,message #67762,Question about OCL example,Eclipse User,http://www.eclipse.org/modeling/mdt/downloads/?project=uml2&amp;sortBy=date,www.eclipse.org/modeling,www.eclipse.org,org
21124,Q&A,message #67762,Question about OCL example,Eclipse User,http://www.eclipse.org/gmt/omcw/resources/chapter01/,www.eclipse.org/gmt,www.eclipse.org,org
9917,Q&A,message #30430,How to use SDK to launch terminal window,Martin Oberhuber,https://bugs.eclipse.org/bugs/show_bug.cgi?id=185348,bugs.eclipse.org/bugs,bugs.eclipse.org,org
9917,Q&A,message #30430,How to use SDK to launch terminal window,Martin Oberhuber,http://www.eclipse.org/dsdp/tm,www.eclipse.org/dsdp,www.eclipse.org,org
373413,Q&A,message #908843,Annotations parsing in Eclipse view plugin,Stephan Herrmann,http://www.vogella.com/articles/EclipseJDT/article.html,www.vogella.com/articles,www.vogella.com,com
792532,Q&A,message #1398966,New Class File,Dawid Pakula,http://p2-dev.pdt-extensions.org/,http://p2-dev.pdt-extensions.org/,p2-dev.pdt-extensions.org,org
792532,Q&A,message #1398966,New Class File,Dawid Pakula,https://bugs.eclipse.org/bugs/show_bug.cgi?id=318164,bugs.eclipse.org/bugs,bugs.eclipse.org,org
106930,Q&A,message #326925,Extension Point Schema,Manuel Selva,http://manuelselva.wordpress.com,http://manuelselva.wordpress.com,manuelselva.wordpress.com,com
106930,Q&A,message #326925,Extension Point Schema,Paul Webster,http://wiki.eclipse.org/Platform_Command_Framework,wiki.eclipse.org/Platform_Command_Framework,wiki.eclipse.org,org
106930,Q&A,message #326925,Extension Point Schema,Paul Webster,http://wiki.eclipse.org/Command_Core_Expressions,wiki.eclipse.org/Command_Core_Expressions,wiki.eclipse.org,org
106930,Q&A,message #326925,Extension Point Schema,Paul Webster,http://wiki.eclipse.org/Menu_Contributions,wiki.eclipse.org/Menu_Contributions,wiki.eclipse.org,org
106930,Q&A,message #326925,Extension Point Schema,Paul Webster,http://wiki.eclipse.org/Menus_Extension_Mapping,wiki.eclipse.org/Menus_Extension_Mapping,wiki.eclipse.org,org
106930,Q&A,message #326925,Extension Point Schema,Paul Webster,http://help.eclipse.org/help33/index.jsp?topic=/org.eclipse.platform.doc.isv/guide/workbench.htm,help.eclipse.org/help33,help.eclipse.org,org
1087762,Information,message #1769061,Support for JSON binary encodings in Titan: BSON,Elemer Lelik,http://bsonspec.org/spec.html,bsonspec.org/spec.html,bsonspec.org,org
1087762,Information,message #1769061,Support for JSON binary encodings in Titan: BSON,Elemer Lelik,https://docs.mongodb.com/manual/reference/mongodb-extended-json/#bson-data-types-and-associated-representations,docs.mongodb.com/manual,docs.mongodb.com,com
327125,Q&A,message #841640,Strange warning message in grammar editor,Cristiano Gaviao,http://c4biz.com/hawkdev/model/1.0/Behavior,c4biz.com/hawkdev,c4biz.com,com
504563,Q&A,message #1085905,Clone a Git repository is slow,Andrey Loskutov,https://bugs.eclipse.org/bugs/show_bug.cgi?id=394078,bugs.eclipse.org/bugs,bugs.eclipse.org,org
3878,General discussion,message #11549,Get involved !? - In what ? a not existing project?,Emerson Cargnin,http://www.grisoft.com,http://www.grisoft.com,www.grisoft.com,com
201083,Q&A,message #642097,Problems migrating to 4.1 (creating target platform),Daniel Ford,http://download.eclipse.org/e4/sdk/drops/S-4.1M3-201010291118/repository,download.eclipse.org/e4,download.eclipse.org,org
201083,Q&A,message #642097,Problems migrating to 4.1 (creating target platform),Daniel Ford,http://download.eclipse.org/e4/sdk/drops/R-4.0-201007271520/repository,download.eclipse.org/e4,download.eclipse.org,org
